antecedents_str,consequents_str,support,confidence,lift,leverage,conviction,antecedent_support,consequent_support
"arrows, zappies",OUTCOME=LOSS,0.017767042404723564,0.5578024941017863,1.1156049882035726,0.0018411164787976372,1.130716463414634,0.03185185185185185,0.5
graveyard,OUTCOME=LOSS,0.028523886205045625,0.5571398616062068,1.1142797232124135,0.0029253891572732157,1.1290246212121213,0.05119699409554482,0.5
"arrows, barbarian-barrel, zappies",OUTCOME=LOSS,0.014106280193236715,0.5570156846121238,1.1140313692242476,0.0014439076757917346,1.1287081339712919,0.02532474503488996,0.5
"barbarian-barrel, flying-machine, goblin-cage-ev1",OUTCOME=LOSS,0.016757917337627482,0.5561097256857855,1.112219451371571,0.0016908212560386472,1.1264044943820224,0.03013419216317767,0.5
"barbarian-barrel, goblin-cage-ev1, royal-recruits-ev1",OUTCOME=LOSS,0.0169296833064949,0.5558688755727881,1.1117377511455762,0.0017015566290928593,1.1257936507936506,0.03045625335480408,0.5
"flying-machine, royal-hogs, royal-recruits-ev1",OUTCOME=LOSS,0.020654857756307033,0.5557481224725592,1.1114962449451185,0.0020719269994632326,1.125487646293888,0.0371658615136876,0.5
"flying-machine, royal-hogs",OUTCOME=LOSS,0.020815888352120237,0.5557466322728576,1.1114932645457152,0.0020880300590445516,1.125483870967742,0.03745571658615137,0.5
"firecracker-ev1, the-log",OUTCOME=LOSS,0.023478260869565216,0.5550761421319796,1.1101522842639593,0.0023295759527643574,1.1237877923559612,0.04229736983360172,0.5
"arrows, goblin-cage-ev1, royal-recruits-ev1",OUTCOME=LOSS,0.017949543746645195,0.5549286425489545,1.109857285097909,0.0017767042404723543,1.123415361670395,0.03234567901234568,0.5
"arrows, goblin-cage-ev1, royal-hogs",OUTCOME=LOSS,0.01652173913043478,0.5545945945945946,1.1091891891891892,0.0016264090177133643,1.1225728155339805,0.029790660225442835,0.5
"barbarian-barrel, royal-hogs, royal-recruits-ev1",OUTCOME=LOSS,0.017434245840042942,0.5540771067894916,1.1081542135789832,0.001701556629092861,1.1212700841622034,0.03146537842190016,0.5
